Index, Feedback, Output
1,20,-5
2,15.00000,-2.75000
3,12.25000,-3.31250
4,8.93750,-3.37188
5,5.56562,-3.30703
6,2.25859,-3.09574
7,-0.83715,-2.76544
8,-3.60259,-2.34180
9,-5.94438,-1.85276
10,-7.79715,-1.32653
11,-9.12368,-0.79032
12,-9.91400,-0.26921
13,-10.18320,0.21476
14,-9.96844,0.64331
15,-9.32513,1.00238
16,-8.32275,1.28237
17,-7.04037,1.47816
18,-5.56222,1.58887
19,-3.97335,1.61758
20,-2.35576,1.57074
21,-0.78502,1.45760
22,0.67258,1.28953
23,1.96210,1.07928
24,3.04138,0.84030
25,3.88169,0.58609
26,4.46777,0.32951
27,4.79728,0.08235
28,4.87964,-0.14515
29,4.73449,-0.34461
30,4.38988,-0.50969
31,3.88019,-0.63623
32,3.24396,-0.72215
33,2.52181,-0.76743
34,1.75438,-0.77388
35,0.98050,-0.74487
36,0.23563,-0.68507
37,-0.44944,-0.60007
38,-1.04951,-0.49609
39,-1.54559,-0.37960
40,-1.92519,-0.25703
41,-2.18222,-0.13447
42,-2.31669,-0.01744
43,-2.33413,0.08930
44,-2.24483,0.18194
45,-2.06289,0.25763
46,-1.80526,0.31456
47,-1.49070,0.35194
48,-1.13876,0.36995
49,-0.76881,0.36959
50,-0.39921,0.35263
51,-0.04658,0.32139
52,0.27481,0.27864
53,0.55345,0.22738
54,0.78082,0.17072
55,0.95155,0.11174
56,1.06329,0.05330
57,1.11659,-0.00202
58,1.11457,-0.05201
59,1.06256,-0.09494
60,0.96762,-0.12953
61,0.83809,-0.15502
62,0.68306,-0.17113
63,0.51194,-0.17800
64,0.33394,-0.17621
65,0.15773,-0.16665
66,-0.00893,-0.15050
67,-0.15943,-0.12909
68,-0.28852,-0.10390
69,-0.39242,-0.07641
70,-0.46882,-0.04807
71,-0.51690,-0.02026
72,-0.53715,0.00585
73,-0.53131,0.02922
74,-0.50209,0.04906
75,-0.45303,0.06482
76,-0.38820,0.07617
77,-0.31203,0.08302
78,-0.22901,0.08549
79,-0.14352,0.08387
80,-0.05965,0.07863
81,0.01897,0.07034
82,0.08931,0.05967
83,0.14898,0.04732
84,0.19630,0.03401
85,0.23031,0.02042
86,0.25073,0.00720
87,0.25793,-0.00509
88,0.25284,-0.01600
89,0.23684,-0.02515
90,0.21169,-0.03230
91,0.17939,-0.03733
92,0.14206,-0.04019
93,0.10187,-0.04098
94,0.06089,-0.03985
95,0.02104,-0.03703
96,-0.01599,-0.03281
97,-0.04880,-0.02751
98,-0.07631,-0.02147
99,-0.09778,-0.01504
100,-0.11282,-0.00854
101,-0.12136,-0.00227
102,-0.12363,0.00351
103,-0.12012,0.00859
104,-0.11153,0.01280
105,-0.09873,0.01604
106,-0.08269,0.01824
107,-0.06445,0.01942
108,-0.04503,0.01961
109,-0.02542,0.01890
110,-0.00651,0.01741
111,0.01090,0.01527
112,0.02617,0.01265
113,0.03882,0.00971
114,0.04852,0.00660
115,0.05513,0.00350
116,0.05863,0.00053
117,0.05915,-0.00219
118,0.05697,-0.00454
119,0.05242,-0.00648
120,0.04595,-0.00793
121,0.03801,-0.00889
122,0.02912,-0.00936
123,0.01976,-0.00937
124,0.01039,-0.00895
125,0.00144,-0.00817
126,-0.00673,-0.00709
127,-0.01383,-0.00580
128,-0.01963,-0.00437
129,-0.02400,-0.00288
130,-0.02687,-0.00139
131,-0.02826,0.00001
132,-0.02825,0.00128
133,-0.02697,0.00238
134,-0.02460,0.00326
135,-0.02134,0.00391
136,-0.01743,0.00433
137,-0.01310,0.00451
138,-0.00859,0.00447
139,-0.00413,0.00423
140,0.00011,0.00383
141,0.00393,0.00329
142,0.00722,0.00265
143,0.00987,0.00196
144,0.01183,0.00124
145,0.01307,0.00053
146,0.01360,-0.00013
147,0.01347,-0.00072
148,0.01275,-0.00123
149,0.01152,-0.00163
150,0.00989,-0.00192
151,0.00796,-0.00210
152,0.00587,-0.00217
153,0.00370,-0.00213
154,0.00157,-0.00200
155,-0.00042,-0.00179
156,-0.00221,-0.00152
157,-0.00373,-0.00121
158,-0.00494,-0.00087
159,-0.00581,-0.00053
160,-0.00634,-0.00019
161,-0.00653,0.00012
162,-0.00641,0.00040
163,-0.00602,0.00063
164,-0.00538,0.00081
165,-0.00457,0.00094
166,-0.00363,0.00102
167,-0.00261,0.00104
168,-0.00157,0.00101
169,-0.00056,0.00094
170,0.00038,0.00083
171,0.00121,0.00070
172,0.00191,0.00055
173,0.00246,0.00039
174,0.00285,0.00022
175,0.00307,0.00006
176,0.00313,-0.00008
177,0.00305,-0.00021
178,0.00283,-0.00032
179,0.00251,-0.00040
180,0.00211,-0.00046
181,0.00165,-0.00049
182,0.00116,-0.00050
183,0.00066,-0.00048
184,0.00018,-0.00044
185,-0.00026,-0.00039
186,-0.00065,-0.00032
187,-0.00097,-0.00025
188,-0.00122,-0.00017
189,-0.00139,-0.00009
190,-0.00148,-0.00002
191,-0.00150,0.00005
192,-0.00145,0.00011
193,-0.00133,0.00016
194,-0.00117,0.00020
195,-0.00097,0.00022
196,-0.00074,0.00024
197,-0.00051,0.00024
198,-0.00027,0.00023
199,-0.00004,0.00021
200,0.00016,0.00018
201,0.00035,0.00015
202,0.00049,0.00011
203,0.00061,0.00007
204,0.00068,0.00004
205,0.00072,0.00000
